"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"11/24/2018","56","PM2.5","Bakersfield-California","06-029-0014","AQS","3","35","16","56","24"
"11/25/2018","77","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","5","35","20","77","23"
"11/26/2018","92","PM2.5","Bakersfield-California","06-029-0014","AQS","5","34","40","92","34"
"11/27/2018","116","PM2.5","Bakersfield-California","06-029-0014","AQS","7","42","51","116","42"
"11/28/2018","97","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","7","35","38","97","29"
"11/29/2018","38","Ozone","Maricopa","06-029-0008","AQS","3","38","6","15","22"
"11/30/2018","37","Ozone","Mojave","06-029-0011","AQS","5","37","10","27","30"
"12/01/2018","44","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","6","37","22","44","19"
"12/02/2018","42","PM2.5","Bakersfield-California","06-029-0014","AQS","5","35","9","42","28"
"12/03/2018","56","PM2.5","Bakersfield-California","06-029-0014","AQS","5","37","13","56","35"
"12/04/2018","42","PM10","Oildale","06-029-0232","AQS","5","38","42","32","25"
"12/05/2018","37","Ozone","Mojave","06-029-0011","AQS","2","37","12","18","20"
"12/06/2018","31","Ozone","Mojave","06-029-0011","AQS","3","31","8","29","30"
"12/07/2018","90","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","7","32","25","90","24"
"12/08/2018","77","PM2.5","Bakersfield-California","06-029-0014","AQS","7","33","19","77","25"
"12/09/2018","97","PM2.5","Bakersfield-California","06-029-0014","AQS","6","32","28","97","24"
"12/10/2018","99","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","5","30","37","99","18"
"12/11/2018","73","PM2.5","Bakersfield-California","06-029-0014","AQS","3","35","26","73","19"
"12/12/2018","74","PM2.5","Bakersfield-California","06-029-0014","AQS","5","34","23","74","29"
"12/13/2018","111","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","6","38","41","111","35"
"12/14/2018","79","PM2.5","Bakersfield-California","06-029-0014","AQS","6","34","44","79","28"
"12/15/2018","82","PM2.5","Bakersfield-California","06-029-0014","AQS","9","34","36","82","37"
"12/16/2018","89","PM2.5","Bakersfield-California","06-029-0014","AQS","9","35","41","89","29"
"12/17/2018","53","PM2.5","Bakersfield-California","06-029-0014","AQS","5","36","13","53","25"
"12/18/2018","40","PM2.5","Bakersfield-California","06-029-0014","AQS","5","36","19","40","27"
"12/19/2018","69","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","5","33","26","69","30"
"12/20/2018","108","PM2.5","Bakersfield-California","06-029-0014","AQS","8","32","52","108","35"
"12/21/2018","141","PM2.5","Bakersfield-California","06-029-0014","AQS","8","41","53","141","25"
"12/22/2018","145","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","5","34","52","145","17"
"12/23/2018","128","PM2.5","Bakersfield-California","06-029-0014","AQS","3","34","40","128","24"
"12/24/2018","129","PM2.5","Bakersfield-California","06-029-0014","AQS","6","37","42","129","35"
"12/25/2018","52","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","6","37","12","52","23"
"12/26/2018","42","PM2.5","Bakersfield-California","06-029-0014","AQS","3","34","10","42","25"
"12/27/2018","66","PM2.5","Bakersfield-California","06-029-0014","AQS","3","32","17","66","26"
"12/28/2018","65","PM2.5","Bakersfield-California","06-029-0014","AQS","6","35","25","65","30"
"12/29/2018","73","PM2.5","Bakersfield-California","06-029-0014","AQS","7","35","20","73","30"
"12/30/2018","85","PM2.5","Bakersfield-California","06-029-0014","AQS","7","37","20","85","33"
"12/31/2018","105","PM2.5","Bakersfield-California","06-029-0014","AQS","8","37","25","105","25"
