"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"04/26/2019","54","Ozone","Edison","06-029-0007","AQS","3","54","33","34","28"
"04/27/2019","77","Ozone","Edison","06-029-0007","AQS","2","77","47","43","24"
"04/28/2019","80","Ozone","Edison","06-029-0007","AQS","2","80","32","25","17"
"04/29/2019","47","Ozone","Maricopa","06-029-0008","AQS","2","47","19","42","21"
"04/30/2019","44","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","2","44","17","32","18"
"05/01/2019","64","Ozone","Mojave","06-029-0011","AQS","2","64","37","42","32"
"05/02/2019","90","Ozone","Edison","06-029-0007","AQS","3","90","44","44","40"
"05/03/2019","101","Ozone","Edison","06-029-0007","AQS","3","101","44","45","35"
"05/04/2019","100","Ozone","Maricopa","06-029-0008","AQS","3","100","33","41","29"
"05/05/2019","54","Ozone","Edison","06-029-0007","AQS","2","54","26","36","23"
"05/06/2019","45","Ozone","Mojave","06-029-0011","AQS","2","45","20","31","25"
"05/07/2019","54","PM2.5","Mojave","06-029-0011","AQS","2","50","40","54","26"
"05/08/2019","74","Ozone","Edison","06-029-0007","AQS","3","74","47","51","27"
"05/09/2019","67","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","67","43","48","30"
"05/10/2019","48","Ozone","Maricopa","06-029-0008","AQS","2","48","12","36","24"
"05/11/2019","87","Ozone","Maricopa","06-029-0008","AQS","2","87","19","56","28"
"05/12/2019","119","Ozone","Edison","06-029-0007","AQS","3","119","30","58","32"
"05/13/2019","77","Ozone","Mojave","06-029-0011","AQS","3","77","34","42","32"
"05/14/2019","93","Ozone","Edison","06-029-0007","AQS","2","93","40","34","31"
"05/15/2019","50","Ozone","Mojave","06-029-0011","AQS","3","50","41","39","25"
"05/16/2019","46","Ozone","Mojave","06-029-0011","AQS","2","46","8","24","23"
"05/17/2019","46","Ozone","Maricopa","06-029-0008","AQS","2","46","14","30","20"
"05/18/2019","48","Ozone","Edison","06-029-0007","AQS","2","48","12","38","25"
"05/19/2019","45","Ozone","Mojave","06-029-0011","AQS","2","45","11","11","15"
"05/20/2019","50","Ozone","Maricopa","06-029-0008","AQS","2","50","9","23","28"
"05/21/2019","44","Ozone","Mojave","06-029-0011","AQS","2","44","27","40","21"
"05/22/2019","40","Ozone","Mojave","06-029-0011","AQS","2","40","9","22","27"
"05/23/2019","40","Ozone","Edison","06-029-0007","AQS","2","40","9","24","27"
"05/24/2019","45","Ozone","Maricopa","06-029-0008","AQS","2","45","13","30","25"
"05/25/2019","50","Ozone","Maricopa","06-029-0008","AQS","3","50","19","44","25"
"05/26/2019","43","Ozone","Maricopa","06-029-0008","AQS","2","43","6","19","9"
"05/27/2019","44","Ozone","Maricopa","06-029-0008","AQS","2","44","7","18","17"
"05/28/2019","44","Ozone","Maricopa","06-029-0008","AQS","2","44","19","33","29"
"05/29/2019","64","Ozone","Edison","06-029-0007","AQS","3","64","29","50","33"
"05/30/2019","100","Ozone","Edison","06-029-0007","AQS","2","100","27","52","30"
"05/31/2019","80","Ozone","Edison","06-029-0007","AQS","2","80","37","45","25"
"06/01/2019","101","Ozone","Edison","06-029-0007","AQS","2","101","31","43","30"
"06/02/2019","87","Ozone","Edison","06-029-0007","AQS","2","87","27","35","25"
"06/03/2019","105","Ozone","Edison","06-029-0007","AQS","3","105","29","42","39"
"06/04/2019","150","Ozone","Bakersfield-California","06-029-0014","AQS","3","150","47","57","35"
"06/05/2019","143","Ozone","Edison","06-029-0007","AQS","3","143","45","58","33"
"06/06/2019","80","Ozone","Mojave","06-029-0011","AQS","2","80","41","43","35"
"06/07/2019","77","Ozone","Bakersfield-California","06-029-0014","AQS","2","77","40","30","36"
"06/08/2019","87","Ozone","Bakersfield-California","06-029-0014","AQS","2","87","39","35","22"
"06/09/2019","115","Ozone","Bakersfield-California","06-029-0014","AQS","2","115","44","56","25"
"06/10/2019","119","Ozone","Bakersfield-California","06-029-0014","AQS","2","119","39","47","41"
"06/11/2019","126","Ozone","Bakersfield-California","06-029-0014","AQS","2","126","44","55","38"
"06/12/2019","101","Ozone","Maricopa","06-029-0008","AQS","2","101","40","46","36"
"06/13/2019","100","Ozone","Bakersfield-California","06-029-0014","AQS","2","100","42","52","29"
"06/14/2019","74","Ozone","Bakersfield-California","06-029-0014","AQS","2","74","33","38","33"
"06/15/2019","93","Ozone","Edison","06-029-0007","AQS","2","93","27","43","24"
"06/16/2019","90","Ozone","Bakersfield-California","06-029-0014","AQS","2","90","21","41","29"
"06/17/2019","133","Ozone","Bakersfield-California","06-029-0014","AQS","2","133","33","53","26"
"06/18/2019","136","Ozone","Bakersfield-California","06-029-0014","AQS","2","136","45","50","38"
"06/19/2019","140","Ozone","Edison","06-029-0007","AQS","3","140","48","49","34"
"06/20/2019","80","Ozone","Mojave","06-029-0011","AQS","3","80","45","39","29"
"06/21/2019","67","Ozone","Mojave","06-029-0011","AQS","2","67","44","58","27"
"06/22/2019","90","Ozone","Bakersfield-California","06-029-0014","AQS","2","90","37","40","29"
"06/23/2019","101","Ozone","Bakersfield-California","06-029-0014","AQS","3","101","28","40","31"
"06/24/2019","105","Ozone","Bakersfield-California","06-029-0014","AQS","3","105","34","38","39"
"06/25/2019","93","Ozone","Edison","06-029-0007","AQS","2","93","49","46","31"
"06/26/2019","53","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","2","49","44","53","31"
"06/27/2019","54","Ozone","Edison","06-029-0007","AQS","2","54","41","38","30"
"06/28/2019","80","Ozone","Edison","06-029-0007","AQS","2","80","44","51","30"
"06/29/2019","97","Ozone","Edison","06-029-0007","AQS","3","97","40","48","25"
"06/30/2019","93","Ozone","Edison","06-029-0007","AQS","3","93","27","40","30"
"07/01/2019","90","Ozone","Mojave","06-029-0011","AQS","3","90","36","49","43"
"07/02/2019","77","Ozone","Maricopa","06-029-0008","AQS","2","77","41","45","36"
"07/03/2019","74","Ozone","Edison","06-029-0007","AQS","2","74","37","41","37"
"07/04/2019","106","PM2.5","Bakersfield-California","06-029-0014","AQS","6","87","35","106","31"
"07/05/2019","115","Ozone","Edison","06-029-0007","AQS","6","115","41","71","40"
"07/06/2019","105","Ozone","Mojave","06-029-0011","AQS","3","105","27","54","27"
"07/07/2019","64","Ozone","Mojave","06-029-0011","AQS","6","64","31","53","23"
"07/08/2019","54","Ozone","Edison","06-029-0007","AQS","6","54","38","46","30"
"07/09/2019","77","Ozone","Edison","06-029-0007","AQS","2","77","36","40","41"
"07/10/2019","97","Ozone","Edison","06-029-0007","AQS","2","97","43","46","36"
"07/11/2019","87","Ozone","Edison","06-029-0007","AQS","2","87","49","56","39"
"07/12/2019","90","Ozone","Edison","06-029-0007","AirNow","3","90","50","49","41"
"07/13/2019","126","Ozone","Edison","06-029-0007","AQS","2","126","43","56","37"
"07/14/2019","74","Ozone","Edison","06-029-0007","AQS","3","74","36","52","23"
"07/15/2019","74","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","2","74","36","34","35"
"07/16/2019","46","Ozone","Edison","06-029-0007","AQS","3","46","39","28","28"
"07/17/2019","48","Ozone","Maricopa","06-029-0008","AQS","2","48","42","47","26"
"07/18/2019","64","Ozone","Edison","06-029-0007","AQS",".","64","45","38","35"
"07/19/2019","61","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","2","61","33","47","38"
"07/20/2019","80","Ozone","Edison","06-029-0007","AQS","2","80","31","47","22"
"07/21/2019","97","Ozone","Edison","06-029-0007","AQS","2","97","33","64","33"
"07/22/2019","133","Ozone","Edison","06-029-0007","AQS","3","133","39","49","37"
"07/23/2019","108","Ozone","Edison","06-029-0007","AQS","3","108","53","57","46"
"07/24/2019","126","Ozone","Edison","06-029-0007","AQS","3","126","51","60","42"
"07/25/2019","156","Ozone","Bakersfield-California","06-029-0014","AQS","5","156","56","59","45"
"07/26/2019","97","Ozone","Maricopa","06-029-0008","AQS","5","97","44","52","41"
"07/27/2019","122","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","122","42","54","35"
"07/28/2019","115","Ozone","Maricopa","06-029-0008","AQS","3","115","31","44","25"
"07/29/2019","105","Ozone","Maricopa","06-029-0008","AQS","2","105","48","52","38"
"07/30/2019","101","Ozone","Edison","06-029-0007","AQS","3","101","55","43","41"
"07/31/2019","126","Ozone","Edison","06-029-0007","AQS","3","126","48","43","37"
"08/01/2019","101","Ozone","Maricopa","06-029-0008","AQS","5","101","64","60","49"
"08/02/2019","93","Ozone","Mojave","06-029-0011","AQS","3","93","46","39","45"
"08/03/2019","112","Ozone","Edison","06-029-0007","AQS","3","112","42","50","36"
"08/04/2019","126","Ozone","Edison","06-029-0007","AQS","5","126","40","59","35"
"08/05/2019","105","Ozone","Edison","06-029-0007","AQS","3","105","45","40","40"
"08/06/2019","122","Ozone","Oildale","06-029-0232","AQS","3","122","49","49","45"
"08/07/2019","147","Ozone","Edison","06-029-0007","AQS","3","147","53","56","42"
"08/08/2019","122","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","122","53","46","39"
"08/09/2019","97","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","97","57","38","39"
"08/10/2019","49","Ozone","Edison","06-029-0007","AQS","5","49","41","41","26"
"08/11/2019","44","Ozone","Mojave","06-029-0011","AQS","3","44","26","32","29"
"08/12/2019","100","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","100","46","41","42"
"08/13/2019","140","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","140","62","53","45"
"08/14/2019","151","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","151","61","56","42"
"08/15/2019","147","Ozone","Edison","06-029-0007","AQS","5","147","57","56","54"
"08/16/2019","122","Ozone","Edison","06-029-0007","AQS","5","122","51","54","42"
"08/17/2019","64","Ozone","Edison","06-029-0007","AQS","3","64","39","36","36"
"08/18/2019","49","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","49","24","28","24"
"08/19/2019","84","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","84","45","40","19"
"08/20/2019","108","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","108","58","41","22"
"08/21/2019","90","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","90","56","45","19"
"08/22/2019","115","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","115","56","53","31"
"08/23/2019","122","Ozone","Edison","06-029-0007","AQS","5","122","52","49","30"
"08/24/2019","100","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","5","100","49","42","27"
"08/25/2019","105","Ozone","Edison","06-029-0007","AQS","5","105","46","48","24"
"08/26/2019","90","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","5","90","49","49","28"
"08/27/2019","147","Ozone","Edison","06-029-0007","AQS","3","147","60","48","29"
"08/28/2019","126","Ozone","Edison","06-029-0007","AQS","3","126","56","46","28"
"08/29/2019","105","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","105","61","37","20"
"08/30/2019","108","Ozone","Edison","06-029-0007","AQS","3","108","63","46","21"
"08/31/2019","133","Ozone","Edison","06-029-0007","AQS","5","133","65","56","25"
"09/01/2019","122","Ozone","Edison","06-029-0007","AQS","5","122","48","51","20"
"09/02/2019","112","PM10","Ridgecrest-Ward","06-029-0018","AQS","5","101","112","97","21"
"09/03/2019","112","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","5","112","63","56","22"
"09/04/2019","150","Ozone","Edison","06-029-0007","AQS","3","150","69","51","31"
"09/05/2019","119","Ozone","Edison","06-029-0007","AQS","5","119","67","54","30"
"09/06/2019","100","Ozone","Edison","06-029-0007","AQS","5","100","61","46","21"
"09/07/2019","122","PM10","Oildale","06-029-0232","AQS","3","67","122","55","19"
"09/08/2019","84","PM10","Mojave","06-029-0011","AQS","2","46","84","48","15"
"09/09/2019","50","Ozone","Mojave","06-029-0011","AQS","3","50","44","38","22"
"09/10/2019","48","Ozone","Mojave","06-029-0011","AQS","3","48","46","27","17"
"09/11/2019","61","Ozone","Edison","06-029-0007","AQS","3","61","50","35","23"
"09/12/2019","108","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","108","68","52","35"
"09/13/2019","136","Ozone","Edison","06-029-0007","AQS","5","136","77","58","34"
"09/14/2019","151","Ozone","Edison","06-029-0007","AQS","6","151","62","56","34"
"09/15/2019","97","Ozone","Maricopa","06-029-0008","AQS","5","97","56","45","22"
"09/16/2019","64","PM10","Oildale","06-029-0232","AQS","3","61","64","30","30"
"09/17/2019","49","PM10","Oildale","06-029-0232","AQS","3","49","49","28","22"
"09/18/2019","67","Ozone","Edison","06-029-0007","AQS","5","67","57","42","40"
"09/19/2019","64","PM2.5","Mojave","06-029-0011","AQS","5","41","57","64","29"
"09/20/2019","50","PM10","Oildale","06-029-0232","AQS","3","48","50","29","29"
"09/21/2019","77","Ozone","Edison","06-029-0007","AQS","5","77","54","40","37"
"09/22/2019","101","Ozone","Edison","06-029-0007","AQS","5","101","51","43","24"
"09/23/2019","67","Ozone","Edison","06-029-0007","AQS","3","67","62","42","35"
"09/24/2019","84","Ozone","Edison","06-029-0007","AQS","3","84","65","52","30"
"09/25/2019","101","Ozone","Shafter","06-029-6001","AQS","3","101","67","50","39"
"09/26/2019","100","Ozone","Edison","06-029-0007","AQS","3","100","73","53","41"
"09/27/2019","64","Ozone","Mojave","06-029-0011","AQS","3","64","55","44","26"
"09/28/2019","52","PM10","Canebrake","06-029-0017","AQS","3","41","52","26","12"
"09/29/2019","38","Ozone","Mojave","06-029-0011","AQS","3","38","27","26","23"
"09/30/2019","46","PM10","Oildale","06-029-0232","AQS","3","41","46","37","29"
"10/01/2019","54","PM10","Oildale","06-029-0232","AQS","3","44","54","31","29"
"10/02/2019","73","PM10","Oildale","06-029-0232","AQS","3","51","73","38","34"
"10/03/2019","87","Ozone","Mojave","06-029-0011","AQS","5","87","71","54","41"
"10/04/2019","69","PM10","Oildale","06-029-0232","AQS","5","51","69","43","42"
"10/05/2019","67","Ozone","Edison","06-029-0007","AQS","5","67","61","46","29"
"10/06/2019","108","Ozone","Edison","06-029-0007","AQS","5","108","65","56","37"
"10/07/2019","119","Ozone","Maricopa","06-029-0008","AQS","5","119","78","58","50"
"10/08/2019","129","Ozone","Edison","06-029-0007","AQS","5","129","81","58","54"
"10/09/2019","105","Ozone","Mojave","06-029-0011","AQS","5","105","104","64","44"
"10/10/2019","90","PM10","Oildale","06-029-0232","AQS","3","42","90","43","45"
"10/11/2019","77","PM10","Oildale","06-029-0232","AQS","3","50","77","50","44"
"10/12/2019","61","Ozone","Maricopa","06-029-0008","AQS","5","61","58","57","32"
"10/13/2019","80","Ozone","Maricopa","06-029-0008","AQS","5","80","45","40","31"
"10/14/2019","100","Ozone","Maricopa","06-029-0008","AQS","5","100","70","55","42"
"10/15/2019","108","Ozone","Maricopa","06-029-0008","AQS","6","108","81","67","42"
"10/16/2019","122","Ozone","Maricopa","06-029-0008","AQS","5","122","90","67","55"
"10/17/2019","119","PM10","Mojave","06-029-0011","AQS","6","80","119","66","48"
"10/18/2019","59","PM10","Bakersfield-Golden/M St","06-029-0010","AQS","3","43","59","45","32"
"10/19/2019","47","PM10","Oildale","06-029-0232","AQS","5","45","47","44","28"
"10/20/2019","41","Ozone","Mojave","06-029-0011","AQS","5","41","33","38","27"
"10/21/2019","61","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","5","61","56","61","38"
"10/22/2019","84","Ozone","Edison","06-029-0007","AQS","5","84","71","62","36"
"10/23/2019","108","Ozone","Edison","06-029-0007","AQS","6","108","82","64","44"
"10/24/2019","93","Ozone","Edison","06-029-0007","AQS","6","93","73","66","41"
"10/25/2019","71","Ozone","Edison","06-029-0007","AQS","6","71","66","59","44"
"10/26/2019","87","Ozone","Edison","06-029-0007","AQS","7","87","57","55","52"
"10/27/2019","240","PM10","Oildale","06-029-0232","AQS","5","50","240","77","30"
"10/28/2019","140","PM10","Oildale","06-029-0232","AQS","3","43","140","67","35"
"10/29/2019","102","PM10","Oildale","06-029-0232","AQS","3","47","102","61","48"
"10/30/2019","548","PM10","Bakersfield-Golden/M St","06-029-0010","AQS","3","42","548","135","38"
"10/31/2019","72","PM10","Oildale","06-029-0232","AQS","5","42","72","47","39"
"11/01/2019","77","PM10","Oildale","06-029-0232","AQS","6","49","77","68","42"
"11/02/2019","93","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","8","77","80","93","45"
"11/03/2019","97","Ozone","Edison","06-029-0007","AQS","8","97","63","95","48"
"11/04/2019","105","Ozone","Maricopa","06-029-0008","AQS","7","105","68","75","57"
"11/05/2019","93","Ozone","Maricopa","06-029-0008","AQS","7","93","81","87","67"
"11/06/2019","108","Ozone","Maricopa","06-029-0008","AQS","7","108","76","76","62"
"11/07/2019","122","Ozone","Maricopa","06-029-0008","AQS","8","122","92","91","66"
"11/08/2019","129","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","8","115","91","129","76"
"11/09/2019","133","Ozone","Maricopa","06-029-0008","AQS","8","133","76","120","51"
"11/10/2019","115","Ozone","Maricopa","06-029-0008","AQS","8","115","57","92","62"
"11/11/2019","108","Ozone","Maricopa","06-029-0008","AQS","7","108","72","91","52"
