"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2019","107","PM2.5","Bakersfield-California","06-029-0014","AQS","9","35","24","107","33"
"01/02/2019","90","PM2.5","Bakersfield-California","06-029-0014","AQS","7","35","38","90","36"
"01/03/2019","103","PM2.5","Bakersfield-California","06-029-0014","AQS","8","33","52","103","39"
"01/04/2019","108","PM2.5","Bakersfield-California","06-029-0014","AQS","8","34","50","108","41"
"01/05/2019","81","PM10","Bakersfield-California","06-029-0014","AQS","11","36","81","73","32"
"01/06/2019","44","PM2.5","Bakersfield-California","06-029-0014","AQS","3","37","30","44","33"
"01/07/2019","38","NO2","Bakersfield-Westwind","06-029-2019","AQS","3","35","6","23","38"
"01/08/2019","34","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","34","12","25","29"
"01/09/2019","49","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","5","32","19","49","32"
"01/10/2019","58","PM2.5","Bakersfield-California","06-029-0014","AQS","5","33","19","58","25"
"01/11/2019","49","PM2.5","Bakersfield-California","06-029-0014","AQS","3","35","19","49","23"
"01/12/2019","38","Ozone","Maricopa","06-029-0008","AQS","2","38","4","13","25"
"01/13/2019","37","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","37","4","25","25"
"01/14/2019","37","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","2","37","18","23","25"
"01/15/2019","39","Ozone","Maricopa","06-029-0008","AQS","2","39","18","15","33"
"01/16/2019","34","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","34","13","16","30"
"01/17/2019","37","Ozone","Mojave","06-029-0011","AQS","5","37","17","26","31"
"01/18/2019","60","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","7","37","14","60","29"
"01/19/2019","60","PM2.5","Bakersfield-California","06-029-0014","AQS","6","35","13","60","29"
"01/20/2019","62","PM2.5","Bakersfield-California","06-029-0014","AQS","7","39","12","62","25"
"01/21/2019","39","Ozone","Maricopa","06-029-0008","AQS","5","39","12","37","35"
"01/22/2019","40","PM2.5","Bakersfield-California","06-029-0014","AQS","3","36","15","40","28"
"01/23/2019","69","PM2.5","Bakersfield-California","06-029-0014","AQS","5","32","32","69","34"
"01/24/2019","92","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","6","37","36","92","38"
"01/25/2019","128","PM2.5","Bakersfield-California","06-029-0014","AQS","6","41","54","128","38"
"01/26/2019","142","PM2.5","Bakersfield-California","06-029-0014","AQS","8","41","52","142","40"
"01/27/2019","166","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","9","45","60","166","33"
"01/28/2019","144","PM2.5","Bakersfield-California","06-029-0014","AQS","7","43","57","144","40"
"01/29/2019","152","PM2.5","Bakersfield-California","06-029-0014","AQS","8","46","62","152","32"
"01/30/2019","130","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","6","37","57","130","40"
"01/31/2019","57","PM2.5","Bakersfield-California","06-029-0014","AQS","3","32","19","57","30"
"02/01/2019","45","PM2.5","Bakersfield-California","06-029-0014","AQS","5","38","9","45","22"
"02/02/2019","42","Ozone","Maricopa","06-029-0008","AQS","3","42","10","13","23"
"02/03/2019","39","Ozone","Mojave","06-029-0011","AQS","3","39","6","9","21"
"02/04/2019","42","Ozone","Mojave","06-029-0011","AQS","2","42","4","8","23"
"02/05/2019","41","Ozone","Mojave","06-029-0011","AQS","2","41","3","16","31"
"02/06/2019","39","NO2","Bakersfield-California","06-029-0014","AQS","3","38","6","30","39"
"02/07/2019","41","PM2.5","Bakersfield-California","06-029-0014","AQS","3","41","12","41","31"
"02/08/2019","59","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","3","41","31","59","36"
"02/09/2019","41","Ozone","Mojave","06-029-0011","AQS","5","41","5","21","27"
"02/10/2019","44","Ozone","Mojave","06-029-0011","AQS","5","44","6","23","29"
"02/11/2019","42","Ozone","Maricopa","06-029-0008","AQS","5","42","5","34","34"
"02/12/2019","52","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","7","41","19","52","35"
"02/13/2019","127","PM10","Oildale","06-029-0232","AQS","7","43","127","80","23"
"02/14/2019","49","PM10","Bakersfield-California","06-029-0014","AQS","2","42","49","24","28"
"02/15/2019","41","Ozone","Mojave","06-029-0011","AQS","3","41","4","23","30"
"02/16/2019","41","Ozone","Mojave","06-029-0011","AQS","2","41","3","12","22"
"02/17/2019","41","Ozone","Mojave","06-029-0011","AQS","2","41","4","13","24"
"02/18/2019","39","Ozone","Mojave","06-029-0011","AQS","3","39","8","30","30"
"02/19/2019","40","Ozone","Maricopa","06-029-0008","AQS","3","40","11","36","33"
"02/20/2019","39","Ozone","Mojave","06-029-0011","AQS","5","39","13","28","31"
"02/21/2019","39","Ozone","Mojave","06-029-0011","AQS","2","39","5","21","29"
"02/22/2019","40","PM2.5","Bakersfield-California","06-029-0014","AQS","3","38","10","40","34"
"02/23/2019","56","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","5","41","10","56","29"
"02/24/2019","48","PM2.5","Bakersfield-California","06-029-0014","AQS","5","45","11","48","33"
"02/25/2019","44","Ozone","Mojave","06-029-0011","AQS","5","44","31","37","37"
"02/26/2019","43","Ozone","Mojave","06-029-0011","AQS","3","43","33","33","34"
"02/27/2019","53","PM2.5","Bakersfield-California","06-029-0014","AQS","3","44","20","53","27"
"02/28/2019","52","PM2.5","Bakersfield-California","06-029-0014","AQS","3","37","8","52","23"
"03/01/2019","59","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","3","38","19","59","25"
"03/02/2019","36","Ozone","Maricopa","06-029-0008","AQS","5","36","5","20","20"
"03/03/2019","37","Ozone","Mojave","06-029-0011","AQS","3","37","3","15","23"
"03/04/2019","36","Ozone","Mojave","06-029-0011","AQS","3","36","13","26","26"
"03/05/2019","36","Ozone","Shafter","06-029-6001","AQS","3","36","9","30","23"
"03/06/2019","40","Ozone","Maricopa","06-029-0008","AQS","2","40","3","23","24"
"03/07/2019","43","Ozone","Mojave","06-029-0011","AQS","2","43","6","15","26"
"03/08/2019","43","Ozone","Mojave","06-029-0011","AQS","2","43","4","23","32"
"03/09/2019","43","Ozone","Mojave","06-029-0011","AQS","3","43","9","29","27"
"03/10/2019","44","Ozone","Mojave","06-029-0011","AQS","3","44","8","24","24"
"03/11/2019","46","PM2.5","Bakersfield-California","06-029-0014","AQS","3","40","18","46","25"
"03/12/2019","42","Ozone","Edison","06-029-0007","AQS","3","42","23","27","25"
"03/13/2019","62","PM2.5","Mojave","06-029-0011","AQS","2","43","43","62","37"
"03/14/2019","47","Ozone","Shafter","06-029-6001","AQS","3","47","19","23","27"
"03/15/2019","49","PM2.5","Bakersfield-California","06-029-0014","AQS","3","46","27","49","33"
"03/16/2019","59","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","5","54","29","59","28"
"03/17/2019","64","Ozone","Maricopa","06-029-0008","AQS","5","64","22","43","35"
"03/18/2019","67","Ozone","Maricopa","06-029-0008","AQS","3","67","46","43","34"
"03/19/2019","58","PM10","Oildale","06-029-0232","AQS","3","49","58","45","36"
"03/20/2019","45","Ozone","Maricopa","06-029-0008","AQS","3","45","19","25","33"
"03/21/2019","45","Ozone","Maricopa","06-029-0008","AQS","2","45","10","22","31"
"03/22/2019","48","Ozone","Maricopa","06-029-0008","AQS","2","48","20","44","29"
"03/23/2019","46","Ozone","Mojave","06-029-0011","AQS","3","46","13","34","26"
"03/24/2019","49","Ozone","Edison","06-029-0007","AQS","5","49","16","45","25"
"03/25/2019","77","Ozone","Mojave","06-029-0011","AQS","6","77","28","56","31"
"03/26/2019","54","PM2.5","Mojave","06-029-0011","AQS","5","54","31","54","35"
"03/27/2019","39","Ozone","Mojave","06-029-0011","AQS","3","39","19","34","31"
"03/28/2019","44","Ozone","Mojave","06-029-0011","AQS","2","44","10","30","30"
"03/29/2019","45","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","45","19","38","27"
"03/30/2019","49","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","49","20","38","27"
"03/31/2019","54","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","54","21","39","26"
"04/01/2019","58","Ozone","Edison","06-029-0007","AQS","3","58","39","45","32"
"04/02/2019","51","Ozone","Mojave","06-029-0011","AQS","3","51","21","28","25"
"04/03/2019","43","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","2","43","18","30","26"
"04/04/2019","41","Ozone","Mojave","06-029-0011","AQS","2","41","11","27","25"
"04/05/2019","38","Ozone","Mojave","06-029-0011","AQS","3","38","13","27","25"
"04/06/2019","48","Ozone","Mojave","06-029-0011","AQS","3","48","19","29","22"
"04/07/2019","47","Ozone","Oildale","06-029-0232","AQS","3","47","19","30","25"
"04/08/2019","49","Ozone","Edison","06-029-0007","AQS","3","49","31","45","26"
"04/09/2019","68","PM10","Oildale","06-029-0232","AQS","2","47","68","46","19"
"04/10/2019","49","Ozone","Mojave","06-029-0011","AQS","3","49","31","24","34"
"04/11/2019","45","Ozone","Maricopa","06-029-0008","AQS","3","45","34","29","30"
"04/12/2019","45","Ozone","Mojave","06-029-0011","AQS","3","45","19","25","29"
"04/13/2019","61","Ozone","Edison","06-029-0007","AQS","3","61","33","30","29"
"04/14/2019","74","Ozone","Maricopa","06-029-0008","AQS","3","74","21","30","23"
"04/15/2019","51","Ozone","Shafter","06-029-6001","AQS","3","51","27","32","26"
"04/16/2019","45","Ozone","Mojave","06-029-0011","AQS","3","45","22","40","25"
"04/17/2019","61","Ozone","Edison","06-029-0007","AQS","3","61","22","30","27"
"04/18/2019","105","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","105","16","58","31"
"04/19/2019","115","Ozone","Edison","06-029-0007","AQS","5","115","19","55","40"
"04/20/2019","71","Ozone","Mojave","06-029-0011","AQS","3","71","24","43","27"
"04/21/2019","47","Ozone","Maricopa","06-029-0008","AQS","2","47","19","37","20"
"04/22/2019","54","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","2","54","16","32","25"
"04/23/2019","77","Ozone","Maricopa","06-029-0008","AQS","3","77","34","42","38"
"04/24/2019","112","Ozone","Maricopa","06-029-0008","AQS","3","112","42","49","45"
"04/25/2019","105","Ozone","Arvin-Di Giorgio","06-029-5002","AQS","3","105","44","48","32"
